age,sex,acmr,disability_rate,acmr_apc,expenditure_rate,expenditure_rate_death,income,income_death,tax_rate,super_rate,excise_rate,gst_rate
23,male,0.000873811,0.082174291,-0.015,1473.372791,20107.76071,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
24,male,0.000873811,0.082174291,-0.015,1473.372791,20107.76071,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
25,male,0.000664627,0.094199562,-0.015,1501.706883,40794.00913,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
26,male,0.000664627,0.094199562,-0.015,1501.706883,40794.00913,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
27,male,0.000664627,0.094199562,-0.015,1501.706883,40794.00913,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
28,male,0.000664627,0.094199562,-0.015,1501.706883,40794.00913,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
29,male,0.000664627,0.094199562,-0.015,1501.706883,40794.00913,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
30,male,0.000709914,0.101707228,-0.015,1638.654995,50182.03835,68028.49582,17184.8482,0.264483115,0,2831.354189,0.190917292
31,male,0.000709914,0.101707228,-0.015,1638.654995,50182.03835,68028.49582,17184.8482,0.264483115,0,2831.354189,0.190917292
32,male,0.000709914,0.101707228,-0.015,1638.654995,50182.03835,68028.49582,17184.8482,0.264483115,0,2831.354189,0.190917292
33,male,0.000709914,0.101707228,-0.015,1638.654995,50182.03835,68028.49582,17184.8482,0.264483115,0,2831.354189,0.190917292
34,male,0.000709914,0.101707228,-0.015,1638.654995,50182.03835,68028.49582,17184.8482,0.264483115,0,2831.354189,0.190917292
35,male,0.000885018,0.108668645,-0.015,1803.937199,40222.60494,75840.38767,17375.88128,0.264483115,0,2831.354189,0.190917292
36,male,0.000885018,0.108668645,-0.015,1803.937199,40222.60494,75840.38767,17375.88128,0.264483115,0,2831.354189,0.190917292
37,male,0.000885018,0.108668645,-0.015,1803.937199,40222.60494,75840.38767,17375.88128,0.264483115,0,2831.354189,0.190917292
38,male,0.000885018,0.108668645,-0.015,1803.937199,40222.60494,75840.38767,17375.88128,0.264483115,0,2831.354189,0.190917292
39,male,0.000885018,0.108668645,-0.015,1803.937199,40222.60494,75840.38767,17375.88128,0.264483115,0,2831.354189,0.190917292
40,male,0.001361234,0.114280947,-0.015,2179.36392,63118.91258,77603.10929,17722.72148,0.264483115,0,2831.354189,0.190917292
41,male,0.001361234,0.114280947,-0.015,2179.36392,63118.91258,77603.10929,17722.72148,0.264483115,0,2831.354189,0.190917292
42,male,0.001361234,0.114280947,-0.015,2179.36392,63118.91258,77603.10929,17722.72148,0.264483115,0,2831.354189,0.190917292
43,male,0.001361234,0.114280947,-0.015,2179.36392,63118.91258,77603.10929,17722.72148,0.264483115,0,2831.354189,0.190917292
44,male,0.001361234,0.114280947,-0.015,2179.36392,63118.91258,77603.10929,17722.72148,0.264483115,0,2831.354189,0.190917292
45,male,0.002046417,0.122029746,-0.015,2651.598789,66058.57462,75607.15223,17065.62187,0.264483115,0,2831.354189,0.190917292
46,male,0.002046417,0.122029746,-0.015,2651.598789,66058.57462,75607.15223,17065.62187,0.264483115,0,2831.354189,0.190917292
47,male,0.002046417,0.122029746,-0.015,2651.598789,66058.57462,75607.15223,17065.62187,0.264483115,0,2831.354189,0.190917292
48,male,0.002046417,0.122029746,-0.015,2651.598789,66058.57462,75607.15223,17065.62187,0.264483115,0,2831.354189,0.190917292
49,male,0.002046417,0.122029746,-0.015,2651.598789,66058.57462,75607.15223,17065.62187,0.264483115,0,2831.354189,0.190917292
50,male,0.00294778,0.134014734,-0.015,3348.14522,69135.18479,71411.90468,16875.94365,0.264483115,0,2831.354189,0.190917292
51,male,0.00294778,0.134014734,-0.015,3348.14522,69135.18479,71411.90468,16875.94365,0.264483115,0,2831.354189,0.190917292
52,male,0.00294778,0.134014734,-0.015,3348.14522,69135.18479,71411.90468,16875.94365,0.264483115,0,2831.354189,0.190917292
53,male,0.00294778,0.134014734,-0.015,3348.14522,69135.18479,71411.90468,16875.94365,0.264483115,0,2831.354189,0.190917292
54,male,0.00294778,0.134014734,-0.015,3348.14522,69135.18479,71411.90468,16875.94365,0.264483115,0,2831.354189,0.190917292
55,male,0.00486568,0.148211633,-0.015,4184.000938,77618.88421,64615.18501,15292.13037,0.264483115,0,2831.354189,0.190917292
56,male,0.00486568,0.148211633,-0.015,4184.000938,77618.88421,64615.18501,15292.13037,0.264483115,0,2831.354189,0.190917292
57,male,0.00486568,0.148211633,-0.015,4184.000938,77618.88421,64615.18501,15292.13037,0.264483115,0,2831.354189,0.190917292
58,male,0.00486568,0.148211633,-0.015,4184.000938,77618.88421,64615.18501,15292.13037,0.264483115,0,2831.354189,0.190917292
59,male,0.00486568,0.148211633,-0.015,4184.000938,77618.88421,64615.18501,15292.13037,0.264483115,0,2831.354189,0.190917292
60,male,0.007237227,0.169339759,-0.015,5281.947008,71555.38851,53041.62428,12700.31276,0.264483115,0,2831.354189,0.190917292
61,male,0.007237227,0.169339759,-0.015,5281.947008,71555.38851,53041.62428,12700.31276,0.264483115,0,2831.354189,0.190917292
62,male,0.007237227,0.169339759,-0.015,5281.947008,71555.38851,53041.62428,12700.31276,0.264483115,0,2831.354189,0.190917292
63,male,0.007237227,0.169339759,-0.015,5281.947008,71555.38851,53041.62428,12700.31276,0.264483115,0,2831.354189,0.190917292
64,male,0.007237227,0.169339759,-0.015,5281.947008,71555.38851,53041.62428,12700.31276,0.264483115,0,2831.354189,0.190917292
65,male,0.012926443,0.198991101,-0.015,7234.638191,67418.61107,0,0,0.264483115,19873.54081,2831.354189,0.190917292
66,male,0.012926443,0.198991101,-0.015,7234.638191,67418.61107,0,0,0.264483115,19873.54081,2831.354189,0.190917292
67,male,0.012926443,0.198991101,-0.015,7234.638191,67418.61107,0,0,0.264483115,19873.54081,2831.354189,0.190917292
68,male,0.012926443,0.198991101,-0.015,7234.638191,67418.61107,0,0,0.264483115,19873.54081,2831.354189,0.190917292
69,male,0.012926443,0.198991101,-0.015,7234.638191,67418.61107,0,0,0.264483115,19873.54081,2831.354189,0.190917292
70,male,0.022139494,0.231205117,-0.015,9000.796601,64389.22438,0,0,0.264483115,19873.54081,2831.354189,0.190917292
71,male,0.022139494,0.231205117,-0.015,9000.796601,64389.22438,0,0,0.264483115,19873.54081,2831.354189,0.190917292
72,male,0.022139494,0.231205117,-0.015,9000.796601,64389.22438,0,0,0.264483115,19873.54081,2831.354189,0.190917292
73,male,0.022139494,0.231205117,-0.015,9000.796601,64389.22438,0,0,0.264483115,19873.54081,2831.354189,0.190917292
